property_type,society,sector,priceCr,area,bedRoom,bathroom,balcony,study room,servant room,floorNum,agePossession,furnishing_type,luxury_category,UserID,PricePerSquare,Rent,floor_category
flat,umang monsoon breeze,sector 78,1.41,2176,3,3,3+,0,1,9,Old Property,unfurnished,Medium,1,6.48,28.2,Mid Floor
house,independent,sector 13,1.16,785,2,4,3,1,1,3,Moderately Old,unfurnished,Low,1,14.78,23.2,Mid Floor
flat,tulip violet,sector 69,1.7,1419,3,3,1,0,0,12,Relatively New,semifurnished,Medium,1,11.98,34,High Floor
flat,shree vardhman victoria,sector 70,2.45,1765,3,3,3,0,1,10,New Property,unfurnished,Low,1,13.88,49,Mid Floor
flat,conscient elevate,sector 59,5.47,2077,3,4,3,0,0,3,Under Construction,unfurnished,Low,1,26.34,109.4,Mid Floor
house,independent,sector 26,5.79,1350,5,5,3+,0,0,2,Old Property,unfurnished,Low,1,42.89,115.8,Low Floor
flat,central park flower valley,sohna road,1.55,1780,3,3,0,0,0,11,Undefined,unfurnished,Medium,1,8.71,31,High Floor
flat,dlf the ultima,sector 81,2.84,1900,3,4,3+,0,1,7,Relatively New,furnished,Medium,1,14.95,56.8,Mid Floor
house,eros rosewood city,sector 49,5.22,2000,3,3,3,0,1,2,Moderately Old,unfurnished,Low,1,26.1,104.4,Low Floor
house,independent,sector 55,3.99,1548,5,4,3+,0,1,2,Moderately Old,semifurnished,Medium,1,25.78,79.8,Low Floor
flat,m3m skywalk,sector 74,2,1300,2,2,3+,0,0,18,Relatively New,unfurnished,Medium,1,15.38,40,High Floor
flat,nbcc heights,sector 89,1.93,1923,3,3,3,1,1,8,Relatively New,unfurnished,Medium,1,10.04,38.6,Mid Floor
house,not applicable,sector 4,0.83,500,2,1,1,0,0,3,Moderately Old,unfurnished,Low,1,16.6,16.6,Mid Floor
flat,godrej oasis,sector 88a,1.93,1674,3,3,3+,0,0,11,New Property,unfurnished,Low,1,11.53,38.6,High Floor
flat,unitech the residences,sector 33,1.41,1100,2,2,3,0,0,9,Moderately Old,semifurnished,Low,1,12.82,28.2,Mid Floor
house,international city by sobha phase 1,sector 109,7.54,2214,4,5,3+,0,1,2,Relatively New,semifurnished,Medium,1,34.06,150.8,Low Floor
flat,mapsko casa bella,sector 82,2.26,2535,4,5,3+,0,0,1,Undefined,unfurnished,Medium,1,8.92,45.2,Low Floor
house,independent,sector 28,1.79,1450,2,2,1,0,0,3,Old Property,unfurnished,Low,1,12.34,35.8,Mid Floor
flat,sahara grace,sector 28,7.09,3406,4,5,3+,0,1,5,Moderately Old,semifurnished,Low,1,20.82,141.8,Mid Floor
flat,emaar mgf the palm drive,sector 66,4.13,1800,3,3,3,1,1,12,Relatively New,semifurnished,Medium,1,22.94,82.6,High Floor
flat,tulip orange,sector 70,1.29,1078,3,2,2,0,0,3,Moderately Old,unfurnished,Medium,1,11.97,25.8,Mid Floor
house,independent,sector 47,6.63,1935,3,9,3+,0,0,3,Relatively New,semifurnished,Medium,1,34.26,132.6,Mid Floor
flat,bestech park view ananda,sector 81,1.13,1223,2,2,3,1,0,8,Relatively New,semifurnished,Medium,1,9.24,22.6,Mid Floor
flat,sobha city,sector 108,3.74,2003,3,4,2,0,0,11,Relatively New,unfurnished,Medium,1,18.67,74.8,High Floor
flat,sare green parc 2,sector 92,0.97,1415,3,3,3,0,0,2,Relatively New,semifurnished,Low,1,6.86,19.4,Low Floor
house,independent,sector 56,9.34,2471,8,8,3+,0,0,0,Moderately Old,semifurnished,Low,1,37.8,186.8,Low Floor
house,independent,sector 13,0.58,936,1,1,0,0,0,1,Undefined,unfurnished,Low,1,6.2,11.6,Low Floor
flat,godrej icon,sector 88a,2.09,1463,3,2,3+,1,0,10,Relatively New,furnished,Low,1,14.29,41.8,Mid Floor
house,unitech espace,sector 50,14.82,3240,5,6,0,0,0,1,Undefined,unfurnished,Low,1,45.74,296.4,Low Floor
house,independent,sector 57,4.64,1728,4,4,2,1,1,2,Old Property,unfurnished,Medium,1,26.85,92.8,Low Floor
house,independent,sector 46,4.64,1449,5,5,3+,0,1,3,Moderately Old,semifurnished,Medium,1,32.02,92.8,Mid Floor
flat,m3m heights,sector 65,2.59,1482,2,2,3,1,0,8,New Property,unfurnished,Low,1,17.48,51.8,Mid Floor
flat,gls avenue 51,sector 92,0.27,336,1,1,1,0,0,0,Relatively New,unfurnished,Medium,1,8.04,5.4,Low Floor
flat,ireo skyon,sector 60,2.64,1520,2,3,2,0,0,2,Relatively New,semifurnished,High,1,17.37,52.8,Low Floor
flat,smriti apartment,sector 56,0.58,543,1,1,2,0,0,3,Old Property,unfurnished,Medium,1,10.68,11.6,Mid Floor
flat,ramprastha the edge towers,sector 37d,0.97,1410,2,2,3,0,0,19,Moderately Old,unfurnished,Medium,1,6.88,19.4,High Floor
flat,m3m golfestate,sector 65,7.92,3027,3,3,3,1,1,23,Moderately Old,semifurnished,Medium,1,26.16,158.4,High Floor
flat,smart world gems,sector 89,1.49,1581,3,3,2,1,0,3,Under Construction,unfurnished,Medium,1,9.42,29.8,Mid Floor
flat,godrej,sector 79,2.61,2031,3,4,3+,0,1,7,Relatively New,unfurnished,Medium,1,12.85,52.2,Mid Floor
flat,corona optus,sector 37,1.85,1845,3,3,3+,1,1,2,Relatively New,unfurnished,Low,1,10.03,37,Low Floor
flat,shree vardhman flora,sector 90,1.19,1493,3,4,3,0,1,4,Relatively New,unfurnished,Medium,1,7.97,23.8,Mid Floor
flat,orchid petals,sector 49,5.83,3724,5,5,3+,1,1,14,Moderately Old,unfurnished,Low,1,15.66,116.6,High Floor
