property_type,society,sector,priceCr,area,bedRoom,bathroom,balcony,study room,servant room,floorNum,agePossession,furnishing_type,luxury_category,UserID,PricePerSquare,Rent,floor_category
flat,signature global park 4,sector 36,1.06,850,3,2,2,0,0,2,New Property,unfurnished,Low,1,12.47,21.2,Low Floor
flat,smart world gems,sector 89,1.22,1226,2,2,2,1,1,4,New Property,unfurnished,Low,1,9.95,24.4,Mid Floor
flat,breez global hill view,sohna road,0.41,1000,2,2,1,0,0,17,New Property,unfurnished,Low,1,4.1,8.2,High Floor
flat,bestech park view sanskruti,sector 92,2.06,1615,3,4,3+,0,1,10,Relatively New,semifurnished,High,1,12.76,41.2,Mid Floor
flat,suncity avenue,sector 102,0.62,582,2,2,1,0,0,5,Relatively New,unfurnished,High,1,10.65,12.4,Mid Floor
flat,paras quartier,gwal pahari,9.67,4842,4,4,3+,0,1,20,New Property,semifurnished,Low,1,19.97,193.4,High Floor
flat,experion the heartsong,sector 108,2.58,2116,3,3,3+,0,1,14,Relatively New,unfurnished,Medium,1,12.19,51.6,High Floor
flat,adani m2k oyster grande,sector 102,2.45,1710,3,4,3,0,1,8,Relatively New,unfurnished,High,1,14.33,49,Mid Floor
house,independent,sector 105,1.55,1185.51,3,2,1,0,0,2,Old Property,unfurnished,Low,1,13.07,31,Low Floor
house,dlf city phase 1,sector 26,5.79,1350,3,3,2,1,1,2,Moderately Old,unfurnished,Medium,1,42.89,115.8,Low Floor
house,independent,sector 109,2,2360,3,2,0,0,0,1,Undefined,unfurnished,Low,1,8.47,40,Low Floor
flat,dlf regency park,sector 28,2.06,1222,2,2,2,0,0,3,Relatively New,unfurnished,Medium,1,16.86,41.2,Mid Floor
flat,ats tourmaline,sector 109,2.9,2339,3,4,3,0,1,14,Relatively New,unfurnished,Medium,1,12.4,58,High Floor
flat,emaar mgf emerald floors premier,sector 65,3.57,2194,4,4,3+,1,1,3,Relatively New,furnished,High,1,16.27,71.4,Mid Floor
house,independent,sector 12,1.55,846,2,4,2,0,0,2,Relatively New,semifurnished,Low,1,18.32,31,Low Floor
flat,bestech park view sanskruti,sector 92,2,1805,3,4,3,0,1,16,Relatively New,semifurnished,Medium,1,11.08,40,High Floor
flat,ss the leaf,sector 85,1.4,1638,2,2,3,0,0,9,Relatively New,unfurnished,High,1,8.55,28,Mid Floor
flat,capital residences 360,sector 70a,1.48,1400,2,2,3,0,0,4,New Property,unfurnished,Medium,1,10.57,29.6,Mid Floor
flat,ss the leaf,sector 85,2.28,2179,3,4,3+,0,0,7,New Property,unfurnished,Medium,1,10.46,45.6,Mid Floor
flat,afnhb jalvayu vihar,sector 30,1.09,734,2,2,1,0,0,2,Old Property,semifurnished,Low,1,14.85,21.8,Low Floor
flat,m3m woodshire,sector 107,1.16,1236,2,2,3+,0,0,10,Relatively New,semifurnished,Low,1,9.39,23.2,Mid Floor
flat,godrej habitat,sector 3,1.55,1307,2,2,3,0,0,0,Under Construction,unfurnished,Medium,1,11.86,31,Low Floor
flat,ansal api celebrity suites,sector 2,0.78,665,1,1,1,0,0,5,Moderately Old,semifurnished,Medium,1,11.73,15.6,Mid Floor
house,independent,sector 41,11.59,3240,8,5,3+,0,1,3,Old Property,semifurnished,Low,1,35.77,231.8,Mid Floor
house,independent,sector 41,9.02,2475,7,7,3+,1,1,3,Moderately Old,furnished,High,1,36.44,180.4,Mid Floor
flat,chanderlok society,sector 28,1.16,1382,4,2,3+,0,0,1,Old Property,unfurnished,Low,1,8.39,23.2,Low Floor
house,independent,sector 4,0.51,450,1,1,0,0,0,1,Moderately Old,unfurnished,Low,1,11.33,10.2,Low Floor
house,international city by sobha phase 2,sector 109,7.27,5400,4,4,3+,0,1,2,New Property,semifurnished,Low,1,13.46,145.4,Low Floor
flat,emaar digihomes,sector 62,2.77,1676,2,2,3,0,0,31,Under Construction,unfurnished,Medium,1,16.53,55.4,High Floor
house,uppal southend,sector 49,5.67,2880,6,6,3,1,1,3,Moderately Old,furnished,Medium,1,19.69,113.4,Mid Floor
flat,vipul lavanya,sector 81,0.82,1361,2,2,3,0,0,12,Relatively New,semifurnished,Medium,1,6.02,16.4,High Floor
flat,m3m heights,sector 65,3.68,2267,3,3,3,0,1,45,Under Construction,unfurnished,Low,1,16.23,73.6,High Floor
flat,emaar mgf the palm drive,sector 66,4.5,2125,3,3,3,0,1,7,Moderately Old,semifurnished,Medium,1,21.18,90,Mid Floor
house,greenopolis,sector 89,0.9,1297,2,2,2,0,0,14,Undefined,unfurnished,Low,1,6.94,18,High Floor
flat,dlf the skycourt,sector 86,1.98,1780,3,3,3+,0,1,15,Relatively New,unfurnished,High,1,11.12,39.6,High Floor
house,vipul tatvam villa,sector 48,10.62,2160,4,4,3+,0,1,3,Relatively New,semifurnished,High,1,49.17,212.4,Mid Floor
house,international city by sobha phase 1,sector 109,7.85,2430,5,6,3+,0,1,2,Moderately Old,unfurnished,Low,1,32.3,157,Low Floor
flat,the arzoo cghs,sector 51,2.7,2300,4,4,3,0,0,1,Relatively New,unfurnished,Medium,1,11.74,54,Low Floor
flat,corona optus,sector 37,1.61,1563,3,3,3,1,0,2,Relatively New,unfurnished,Low,1,10.3,32.2,Low Floor
flat,lotus homz,sector 111,0.9,773,2,2,2,0,0,8,Relatively New,unfurnished,Medium,1,11.64,18,Mid Floor
flat,m3m merlin,sector 67,3.6,2047,3,3,3,0,1,5,Moderately Old,furnished,Low,1,17.59,72,Mid Floor
house,housing board colony,sector 28,7.09,1800,4,3,3,0,0,2,Old Property,semifurnished,Low,1,39.39,141.8,Low Floor
flat,puri diplomatic greens,sector 111,3.33,2200,3,4,2,0,1,10,Moderately Old,unfurnished,Medium,1,15.14,66.6,Mid Floor
flat,la vida by tata housing,sector 113,3.86,2460,3,3,3+,0,1,3,Relatively New,unfurnished,High,1,15.69,77.2,Mid Floor
house,ganpati heights apartment,sector 13,1.61,115,3,6,2,0,0,3,Old Property,unfurnished,Low,1,140,32.2,Mid Floor
flat,smart world orchard,sector 61,2.7,1534,3,2,3,0,0,3,Under Construction,unfurnished,Medium,1,17.6,54,Mid Floor
flat,tata gurgaon gateway,sector 113,3.16,2014,3,3,3,0,0,8,Relatively New,unfurnished,Medium,1,15.69,63.2,Mid Floor
flat,tulip violet,sector 69,1.78,1709,3,3,1,0,0,12,Relatively New,unfurnished,High,1,10.42,35.6,High Floor
flat,smart world gems,sector 89,2.2,1423,3,2,0,0,0,3,Undefined,unfurnished,Low,1,15.46,44,Mid Floor
flat,ireo the corridors,sector 67a,2.38,1941,3,4,3,1,0,4,New Property,semifurnished,High,1,12.26,47.6,Mid Floor
flat,signature global the millennia,sector 37d,0.78,625,2,2,3,0,0,7,New Property,unfurnished,Low,1,12.48,15.6,Mid Floor
flat,vatika the seven lamps,sector 82,1.05,1176,2,2,2,0,0,15,Relatively New,semifurnished,Medium,1,8.93,21,High Floor
flat,tulip monsella,sector 53,7.22,2617,3,3,3+,0,0,1,Under Construction,unfurnished,Low,1,27.59,144.4,Low Floor
flat,m3m skywalk,sector 74,1.93,1300,2,2,3,0,0,17,Relatively New,unfurnished,High,1,14.85,38.6,High Floor
flat,bptp terra,sector 37d,1.87,1639,3,3,3,0,0,9,Relatively New,unfurnished,Medium,1,11.41,37.4,Mid Floor
flat,experion the heartsong,sector 108,2.12,1771.32,3,4,3,1,0,3,Moderately Old,semifurnished,Medium,1,11.97,42.4,Mid Floor
flat,huda housing board society,sector 52,0.58,513,1,1,0,0,0,0,Moderately Old,semifurnished,Low,1,11.31,11.6,Low Floor
flat,shri balaji apartment,sector 12,0.46,737,2,2,1,0,0,1,Moderately Old,unfurnished,Low,1,6.24,9.2,Low Floor
house,independent,sector 43,7.41,2430,4,4,2,0,1,4,Under Construction,furnished,High,1,30.49,148.2,Mid Floor
flat,ss the leaf,sector 85,1.45,1485,2,2,3,0,0,10,Relatively New,unfurnished,Low,1,9.76,29,Mid Floor
flat,avl 36 gurgaon,sector 36,0.97,856,2,2,2,0,0,5,Relatively New,unfurnished,Low,1,11.33,19.4,Mid Floor
flat,adani aangan galleria,sector 89,0.32,430,1,1,1,0,0,6,New Property,unfurnished,Medium,1,7.44,6.4,Mid Floor
house,independent,sector 4,0.87,783,3,2,1,0,0,1,Moderately Old,unfurnished,Low,1,11.11,17.4,Low Floor
flat,bestech park view residency,sector 2,0.72,723,1,1,2,0,0,6,Moderately Old,unfurnished,Medium,1,9.96,14.4,Mid Floor
flat,aipl zen residences,sector 70a,2.26,1706,3,4,3+,0,0,20,Relatively New,furnished,Low,1,13.25,45.2,High Floor
house,independent,sector 14,5.35,2250,5,4,2,0,0,2,Old Property,semifurnished,Medium,1,23.78,107,Low Floor
flat,m3m merlin,sector 67,4.38,2134,3,4,3,0,1,17,Relatively New,semifurnished,High,1,20.52,87.6,High Floor
flat,dlf the ultima,sector 81,2.96,1617,3,3,3+,1,1,19,Relatively New,furnished,Low,1,18.31,59.2,High Floor
house,independent,sector 25,9.79,1961,2,9,3,1,0,4,Relatively New,semifurnished,Medium,1,49.92,195.8,Mid Floor
flat,rof ananda,sector 95,0.41,610,2,2,1,0,0,10,Relatively New,semifurnished,Medium,1,6.72,8.2,Mid Floor
flat,rof aalayas,sector 102,0.58,750,1,1,2,0,0,6,Undefined,unfurnished,Low,1,7.73,11.6,Mid Floor
house,independent,sector 56,3.85,1449,4,4,2,1,1,2,Moderately Old,semifurnished,Low,1,26.57,77,Low Floor
flat,ats tourmaline,sector 109,1.93,1797,3,4,3+,0,1,4,Relatively New,unfurnished,Low,1,10.74,38.6,Mid Floor
house,dlf south city 1,sector 41,3.41,1400,3,3,3,0,1,4,New Property,semifurnished,Low,1,24.36,68.2,Mid Floor
house,bhim garh kheri,sector 3,1.93,1980,7,2,0,0,0,1,Undefined,unfurnished,Low,1,9.75,38.6,Low Floor
flat,dlf the skycourt,sector 86,1.93,1719,3,3,1,0,0,16,Relatively New,unfurnished,Low,1,11.23,38.6,High Floor
flat,central park resorts,sector 48,11.98,3831,4,4,3+,1,1,10,Moderately Old,semifurnished,Medium,1,31.27,239.6,Mid Floor
flat,ss the leaf,sector 83,1.53,1630,2,2,3,0,0,4,Relatively New,unfurnished,Low,1,9.39,30.6,Mid Floor
flat,signature global solera,sector 107,0.64,850,3,2,2,0,0,5,Relatively New,unfurnished,Low,1,7.53,12.8,Mid Floor
flat,hero homes,sector 104,1.8,1120,3,2,2,0,0,4,Under Construction,unfurnished,Low,1,16.07,36,Mid Floor
flat,godrej oasis,sector 88a,1.29,1611,2,2,3,1,0,7,Relatively New,unfurnished,Medium,1,8.01,25.8,Mid Floor
flat,eldeco accolade,sohna road,1.68,1509,3,3,3+,0,0,10,Relatively New,unfurnished,Low,1,11.13,33.6,Mid Floor
flat,orris carnation residency,sector 85,1.16,1402,3,3,2,0,0,12,Relatively New,unfurnished,Medium,1,8.27,23.2,High Floor
house,independent,sector 105,0.64,100,2,2,0,0,0,1,Undefined,unfurnished,Low,1,64,12.8,Low Floor
flat,vatika gurgaon,sector 83,1.48,1350,3,3,2,1,1,3,Relatively New,semifurnished,High,1,10.96,29.6,Mid Floor
flat,tulip violet,sector 69,1.76,1428,3,3,2,0,0,12,Relatively New,semifurnished,Low,1,12.32,35.2,High Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.8,1286,2,2,3,0,0,0,Relatively New,unfurnished,Medium,1,14,36,Low Floor
house,independent,sector 55,3.6,1500,4,4,0,0,0,2,Undefined,unfurnished,Low,1,24,72,Low Floor
house,unitech espace,sector 50,13.46,3240,5,7,3+,1,1,3,Moderately Old,semifurnished,High,1,41.54,269.2,Mid Floor
flat,pivotal devaan,sector 84,0.43,537,2,2,1,0,0,1,Relatively New,semifurnished,Medium,1,8.01,8.6,Low Floor
flat,pivotal devaan apartments,sector 84,0.5,549,2,2,0,0,0,5,Undefined,unfurnished,Low,1,9.11,10,Mid Floor
house,independent,sector 4,1.41,990,3,4,1,0,0,2,Undefined,unfurnished,Low,1,14.24,28.2,Low Floor
flat,gls arawali homes,sohna road,0.46,521,2,2,2,0,0,12,New Property,unfurnished,Low,1,8.83,9.2,High Floor
flat,tarc maceo,sector 91,2.26,2107,4,3,3+,1,1,8,Relatively New,unfurnished,Medium,1,10.73,45.2,Mid Floor
flat,vatika city,sector 49,2.7,1604.25,3,3,3,0,0,9,Moderately Old,semifurnished,Medium,1,16.83,54,Mid Floor
flat,central park resorts,sector 48,4.7,2395,3,3,3+,0,0,9,Relatively New,semifurnished,High,1,19.62,94,Mid Floor
flat,ashiana mulberry,sohna road,1.22,1175.97,2,2,3+,1,0,3,New Property,unfurnished,Medium,1,10.37,24.4,Mid Floor
flat,tulip violet,sector 69,1.66,1419,3,3,1,0,0,12,Relatively New,semifurnished,Medium,1,11.7,33.2,High Floor
house,suncity avenue 76,sector 76,0.97,745,2,2,2,0,0,11,New Property,unfurnished,Low,1,13.02,19.4,High Floor
flat,dlf the primus,sector 82a,2.38,1668,3,3,3+,0,0,2,Relatively New,semifurnished,Low,1,14.27,47.6,Low Floor
flat,umang monsoon breeze,sector 78,0.9,1224,2,2,2,0,0,5,Undefined,unfurnished,Low,1,7.35,18,Mid Floor
flat,rof ananda,sector 95,0.41,610,2,2,1,0,0,9,Relatively New,semifurnished,Medium,1,6.72,8.2,Mid Floor
flat,the crew bos chs manesar,manesar,1.09,2556,3,3,2,0,0,2,Moderately Old,unfurnished,Low,1,4.26,21.8,Low Floor
flat,spaze privvy the address,sector 93,1.61,2105,4,4,3,0,0,16,Relatively New,unfurnished,Low,1,7.65,32.2,High Floor
flat,"m m residency, krishna colony, gurgaon",sector 7,0.7,1000,2,2,1,0,0,3,Relatively New,unfurnished,Medium,1,7,14,Mid Floor
flat,chd avenue,sector 71,1.01,1084,2,2,2,0,0,8,Relatively New,unfurnished,Low,1,9.32,20.2,Mid Floor
house,independent,sector 25,12.88,9500,5,5,3+,0,1,3,Moderately Old,furnished,Low,1,13.56,257.6,Mid Floor
flat,park royal apartment,sector 56,2.2,2251,3,3,3+,0,1,5,Moderately Old,semifurnished,Medium,1,9.77,44,Mid Floor
flat,mahindra aura,sector 110,1.8,1550,3,3,3,0,0,10,Relatively New,semifurnished,Medium,1,11.61,36,Mid Floor
flat,ireo victory valley,sector 67,4.7,2490,3,4,3+,0,1,18,Relatively New,semifurnished,Medium,1,18.88,94,High Floor
flat,signature global solera,sector 107,0.78,750,3,2,2,0,0,8,Undefined,unfurnished,Medium,1,10.4,15.6,Mid Floor
flat,tulip violet,sector 69,1.86,1381,3,3,2,0,0,1,Relatively New,unfurnished,High,1,13.47,37.2,Low Floor
flat,m3m capital,sector 113,3.06,2060,4,4,3+,1,0,20,Under Construction,unfurnished,Medium,1,14.85,61.2,High Floor
flat,zara aavaas,sector 104,0.26,334,1,2,2,0,0,3,New Property,unfurnished,Medium,1,7.78,5.2,Mid Floor
flat,godrej nature plus,sector 33,1.93,1539,2,2,3+,0,0,2,Under Construction,unfurnished,Medium,1,12.54,38.6,Low Floor
flat,m3m capital,sector 113,2.36,1310,2,2,0,0,0,7,Undefined,unfurnished,Medium,1,18.02,47.2,Mid Floor
house,independent,sector 4,4.13,2250,3,3,2,0,0,2,Old Property,unfurnished,Low,1,18.36,82.6,Low Floor
flat,breez global heights 88a,sector 88a,0.64,663,3,2,2,0,0,2,Under Construction,unfurnished,Low,1,9.65,12.8,Low Floor
flat,south city 1 floors,sector 41,4.38,2900,4,4,3,0,0,0,Undefined,unfurnished,Low,1,15.1,87.6,Low Floor
flat,adani m2k oyster grande,sector 102,5.86,4630,4,4,3+,0,0,11,Relatively New,semifurnished,Medium,1,12.66,117.2,High Floor
flat,vatika city,sector 49,2.21,2444,3,3,2,0,0,2,Old Property,semifurnished,Medium,1,9.04,44.2,Low Floor
flat,smart world orchard,sector 61,2.84,1778,3,3,2,0,0,1,Under Construction,unfurnished,Low,1,15.97,56.8,Low Floor
flat,vatika iris floors,sector 82,0.81,1026,2,2,3+,1,0,2,Relatively New,unfurnished,Medium,1,7.89,16.2,Low Floor
flat,corona optus,sector 37,1.8,1890,3,3,3+,0,1,4,Relatively New,unfurnished,Medium,1,9.52,36,Mid Floor
flat,unitech south park,sector 70,1.46,1457,3,3,2,0,0,1,Under Construction,unfurnished,Low,1,10.02,29.2,Low Floor
house,hero homes,sector 104,2.51,920,3,5,3+,0,0,2,Moderately Old,unfurnished,Medium,1,27.28,50.2,Low Floor
flat,shree vardhman victoria,sector 70,2.26,1950,3,5,0,0,0,0,Undefined,unfurnished,Low,1,11.59,45.2,Low Floor
flat,indiabulls centrum park,sector 103,3.16,2602,4,4,3,1,1,11,Relatively New,unfurnished,Low,1,12.14,63.2,High Floor
house,vatika signature villas,sector 82,6.05,2160,3,3,3+,0,1,3,New Property,unfurnished,Low,1,28.01,121,Mid Floor
house,independent,sector 28,0.9,864,2,2,0,0,0,2,Old Property,unfurnished,Low,1,10.42,18,Low Floor
flat,m3m soulitude,sector 89,1.68,1179,3,3,2,0,0,1,New Property,unfurnished,Low,1,14.25,33.6,Low Floor
house,international city by sobha phase 2,sector 109,8.37,5400,4,4,3+,0,1,1,New Property,semifurnished,High,1,15.5,167.4,Low Floor
flat,signature global the millennia,sector 37d,0.71,543,2,2,3,0,0,3,New Property,unfurnished,Medium,1,13.08,14.2,Mid Floor
flat,signature global park,sohna road,1.16,1014,3,2,2,0,0,2,Under Construction,unfurnished,Medium,1,11.44,23.2,Low Floor
flat,m3m woodshire,sector 107,1.48,1281,2,2,3,1,0,0,Relatively New,unfurnished,Low,1,11.55,29.6,Low Floor
flat,emaar mgf the palm drive,sector 66,4.5,2150,3,4,3,0,1,6,Relatively New,unfurnished,Medium,1,20.93,90,Mid Floor
flat,dlf regal gardens,sector 90,2.29,2000,4,4,3+,0,0,8,Relatively New,unfurnished,Medium,1,11.45,45.8,Mid Floor
flat,sanskriti apartments,sector 43,3.21,1674,3,2,3,1,0,5,Old Property,unfurnished,Low,1,19.18,64.2,Mid Floor
house,independent,sector 38,5.03,1836,6,6,3+,1,1,3,Moderately Old,unfurnished,Low,1,27.4,100.6,Mid Floor
house,independent,sector 3,0.71,810,2,2,1,0,0,2,Moderately Old,unfurnished,Low,1,8.77,14.2,Low Floor
flat,bptp terra,sector 37d,2.15,2091,4,4,3,0,0,11,Relatively New,semifurnished,Medium,1,10.28,43,High Floor
flat,shree vardhman flora,sector 90,0.83,1050,2,2,3,1,0,9,Relatively New,unfurnished,Medium,1,7.9,16.6,Mid Floor
flat,m3m golfestate,sector 65,7.09,2803,3,4,3,0,1,3,Relatively New,unfurnished,Low,1,25.29,141.8,Mid Floor
flat,dlf regal gardens,sector 90,2.64,2005,4,4,3+,0,0,5,Relatively New,semifurnished,Low,1,13.17,52.8,Mid Floor
house,independent,sector 51,2.9,900,6,3,3+,0,0,3,Relatively New,unfurnished,Medium,1,32.22,58,Mid Floor
house,unitech uniworld resorts,sector 33,14.17,4125,5,6,3,1,1,3,New Property,unfurnished,Medium,1,34.35,283.4,Mid Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.81,1238,2,2,3,0,0,0,Relatively New,unfurnished,Low,1,14.62,36.2,Low Floor
flat,mapsko mount ville,sector 79,2.12,1815,3,3,0,0,0,12,Undefined,unfurnished,Low,1,11.68,42.4,High Floor
flat,vatika gurgaon,sector 83,1.27,1300,2,2,3,0,0,5,Relatively New,semifurnished,Medium,1,9.77,25.4,Mid Floor
flat,essel towers,sector 14,2.84,1956,3,4,3+,0,0,3,Undefined,unfurnished,Low,1,14.52,56.8,Mid Floor
flat,dlf the skycourt,sector 86,1.93,1550,3,3,1,0,0,15,Relatively New,unfurnished,High,1,12.45,38.6,High Floor
house,satya the hermitage,sector 103,5.61,3222,4,4,3+,1,1,2,Relatively New,semifurnished,Medium,1,17.41,112.2,Low Floor
flat,tulip violet,sector 69,1.68,1419,3,3,1,0,0,12,Relatively New,unfurnished,Medium,1,11.84,33.6,High Floor
flat,chd avenue,sector 71,1.41,1631,3,4,3,0,1,3,Moderately Old,unfurnished,Low,1,8.65,28.2,Mid Floor
flat,dlf the primus,sector 82a,2.05,1668,3,3,3+,0,0,5,Relatively New,furnished,High,1,12.29,41,Mid Floor
flat,godrej icon,sector 88a,2.12,1652,3,3,3,0,0,12,New Property,unfurnished,Medium,1,12.83,42.4,High Floor
flat,dlf the ultima,sector 81,2.94,1750,3,3,3+,0,1,14,Relatively New,furnished,Low,1,16.8,58.8,High Floor
flat,dlf new town heights,sector 90,2.06,2139,4,4,3+,0,1,10,Relatively New,unfurnished,Medium,1,9.63,41.2,Mid Floor
flat,dlf regal gardens,sector 90,1.56,1581,3,3,3+,0,0,29,Relatively New,unfurnished,Medium,1,9.87,31.2,High Floor
flat,dlf regal gardens,sector 90,1.61,1437,3,3,3,0,1,18,Moderately Old,unfurnished,Medium,1,11.2,32.2,High Floor
flat,bestech park view residency,sector 2,1.27,1281,2,2,3,0,0,11,Moderately Old,unfurnished,Medium,1,9.91,25.4,High Floor
flat,experion the heartsong,sector 108,1.2,1161,2,3,3,0,0,10,Relatively New,unfurnished,Medium,1,10.34,24,Mid Floor
flat,smart world orchard,sector 61,2.88,1402,3,3,2,0,0,3,New Property,unfurnished,Medium,1,20.54,57.6,Mid Floor
flat,kiran residency,sector 56,2,1810,3,3,3,0,1,5,Old Property,semifurnished,Medium,1,11.05,40,Mid Floor
flat,supertech araville,sector 79,1,1172,2,2,3+,0,0,17,Relatively New,unfurnished,Low,1,8.53,20,High Floor
flat,la vida by tata housing,sector 113,2.49,1429,3,3,2,0,0,8,Under Construction,unfurnished,Medium,1,17.42,49.8,Mid Floor
flat,ats triumph,sector 104,3.35,3064,4,4,3+,0,1,16,Relatively New,semifurnished,High,1,10.93,67,High Floor
house,experion windchants,sector 112,9.61,6350,4,4,3+,0,1,2,Relatively New,semifurnished,Medium,1,15.13,192.2,Low Floor
flat,ambience creacions,sector 22,6.18,2778,4,6,3+,0,1,10,New Property,furnished,Low,1,22.25,123.6,Mid Floor
flat,experion the heartsong,sector 108,1.25,1167,2,2,3,0,1,10,Relatively New,unfurnished,High,1,10.71,25,Mid Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.25,828,2,2,2,0,0,12,Relatively New,unfurnished,Medium,1,15.1,25,High Floor
flat,dlf garden city floors,sector 92,2.19,1475,3,4,2,0,0,1,Under Construction,unfurnished,Medium,1,14.85,43.8,Low Floor
house,independent,sector 26,8.7,2430,3,3,3,0,0,2,Moderately Old,unfurnished,Low,1,35.8,174,Low Floor
flat,dlf new town heights,sector 90,1.55,2144,3,3,3+,0,1,8,Moderately Old,unfurnished,Medium,1,7.23,31,Mid Floor
flat,shree vardhman victoria,sector 70,2.12,1527,3,5,3,0,1,6,Relatively New,unfurnished,High,1,13.88,42.4,Mid Floor
house,independent,sector 13,1.93,1300,2,7,3,0,0,4,Moderately Old,unfurnished,Low,1,14.85,38.6,Mid Floor
flat,antriksh heights,sector 84,0.89,1222,2,2,3+,1,0,8,Relatively New,unfurnished,Medium,1,7.28,17.8,Mid Floor
flat,ss,sector 85,1.55,1660,2,2,3,0,0,15,Relatively New,unfurnished,Low,1,9.34,31,High Floor
flat,apartment,sector 92,0.97,1778,3,4,3,1,0,2,Moderately Old,unfurnished,Medium,1,5.46,19.4,Low Floor
flat,vatika city,sector 49,2.18,2178,3,3,3,0,0,3,Moderately Old,unfurnished,Medium,1,10.01,43.6,Mid Floor
flat,ireo victory valley,sector 67,5.79,3160,4,4,3+,0,1,0,Relatively New,semifurnished,Low,1,18.32,115.8,Low Floor
house,unitech uniworld resorts,sector 33,10.94,4770,5,5,3+,1,1,3,New Property,semifurnished,Medium,1,22.94,218.8,Mid Floor
flat,signature global solera,sector 107,0.51,577,2,2,1,0,0,7,Relatively New,semifurnished,Medium,1,8.84,10.2,Mid Floor
flat,hsiidc sidco aravali,manesar,1.16,2233,4,4,3,0,0,7,Moderately Old,unfurnished,Low,1,5.19,23.2,Mid Floor
flat,residency grand,sector 52,6.44,5778,5,7,3+,0,1,1,Moderately Old,unfurnished,Medium,1,11.15,128.8,Low Floor
flat,whiteland blissville,sector 76,2.45,1513,3,3,2,0,0,0,Under Construction,unfurnished,Medium,1,16.19,49,Low Floor
flat,spaze privy at,sector 84,1.6,1650,3,3,3,1,0,8,Relatively New,semifurnished,High,1,9.7,32,Mid Floor
flat,central park flower valley,sector 33,1.8,588,3,3,3,0,0,2,Under Construction,unfurnished,Medium,1,30.61,36,Low Floor
flat,rof ananda,sector 95,0.59,809,2,2,2,1,0,11,New Property,unfurnished,Medium,1,7.29,11.8,High Floor
flat,suncity vatsal valley,gwal pahari,1.78,1130,2,2,2,0,0,4,Under Construction,semifurnished,Medium,1,15.75,35.6,Mid Floor
flat,conscient heritage max,sector 102,2.35,1757,3,4,3+,0,1,15,Moderately Old,unfurnished,Medium,1,13.38,47,High Floor
flat,tulsiani easy in homes,sohna road,0.51,661,2,2,3,0,0,12,New Property,unfurnished,Low,1,7.72,10.2,High Floor
flat,hsiidc sidco aravali,manesar,1.11,1900,3,3,3+,0,1,3,Moderately Old,unfurnished,Medium,1,5.84,22.2,Mid Floor
flat,shree vardhman victoria,sector 70,2.12,2167,3,3,2,1,0,6,Relatively New,unfurnished,Medium,1,9.78,42.4,Mid Floor
flat,conscient elevate,sector 59,4.87,2550,3,3,3,0,0,3,Under Construction,unfurnished,Low,1,19.1,97.4,Mid Floor
flat,emaar gurgaon greens,sector 102,1.82,1315,3,3,3,0,1,7,Relatively New,unfurnished,Medium,1,13.84,36.4,Mid Floor
flat,ats tourmaline,sector 109,1.8,1466,3,3,3+,0,0,8,Relatively New,unfurnished,Medium,1,12.28,36,Mid Floor
flat,ramson kshitij sec-95 gurugram,sector 95,0.35,758,2,2,0,0,0,1,Undefined,unfurnished,Low,1,4.62,7,Low Floor
flat,pyramid urban homes 2,sector 86,0.54,557,2,2,1,1,1,2,New Property,unfurnished,Medium,1,9.69,10.8,Low Floor
flat,prime habitat,sector 99,0.33,611,2,2,1,0,0,6,Relatively New,unfurnished,Medium,1,5.4,6.6,Mid Floor
flat,ramsons kshitij,sector 95,0.51,761,3,2,2,0,0,6,Undefined,unfurnished,Low,1,6.7,10.2,Mid Floor
flat,the lions cghs,sector 56,2.64,2000,4,4,3,0,1,7,Relatively New,semifurnished,Low,1,13.2,52.8,Mid Floor
flat,sare crescent parc,sector 92,1.12,1584,4,4,2,0,0,2,Moderately Old,furnished,Medium,1,7.07,22.4,Low Floor
flat,microtek greenburg,sector 86,2.12,1715,3,4,3,0,1,8,Relatively New,unfurnished,Medium,1,12.36,42.4,Mid Floor
house,bhawani enclave,sector 12,0.54,567,3,3,0,0,0,2,New Property,unfurnished,Low,1,9.52,10.8,Low Floor
flat,emaar mgf emerald floors premier,sector 65,3.55,1975,4,4,3,1,1,3,Relatively New,semifurnished,Medium,1,17.97,71,Mid Floor
flat,the khushboo cooperative housing society ltd,sector 9,1.13,1438,3,3,2,0,0,2,Old Property,semifurnished,Low,1,7.86,22.6,Low Floor
flat,tarc maceo,sector 91,1.8,1700,3,3,3+,0,0,7,Relatively New,unfurnished,Medium,1,10.59,36,Mid Floor
flat,m3m golfestate,sector 65,7.6,3043,3,3,3,1,0,9,Moderately Old,furnished,Low,1,24.98,152,Mid Floor
flat,signature global city 81,sector 81,1.06,955,2,2,3,0,0,2,Undefined,unfurnished,Medium,1,11.1,21.2,Low Floor
flat,bestech park view grand spa,sector 81,4.25,3070,4,5,3+,1,1,4,Relatively New,semifurnished,High,1,13.84,85,Mid Floor
flat,gls avenue 51,sector 92,0.64,711,3,3,1,0,0,12,New Property,furnished,Medium,1,9,12.8,High Floor
flat,tulip purple,sector 69,2.31,2200,4,5,3+,0,1,4,Relatively New,unfurnished,High,1,10.5,46.2,Mid Floor
